,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7,LDA_Component_8,LDA_Component_9,LDA_Component_10,LDA_Component_11,LDA_Component_12,LDA_Component_13,LDA_Component_14,LDA_Component_15,LDA_Component_16,LDA_Component_17,LDA_Component_18,LDA_Component_19,LDA_Component_20,LDA_Component_21,LDA_Component_22,LDA_Component_23,LDA_Component_24,LDA_Component_25,LDA_Component_26,LDA_Component_27,LDA_Component_28,LDA_Component_29,LDA_Component_30,LDA_Component_31,LDA_Component_32,LDA_Component_33,LDA_Component_34,LDA_Component_35
cat__video_channel_Jereh Músico,-0.006202702250977792,-0.020530482870220208,-0.017061147678188393,0.005327933684317347,-0.019909923837601578,0.002824630849934339,0.010916367223110707,-0.0020938166925323345,-0.019943874931406966,0.0009995247315611017,-0.00024315390708005806,0.0019372858213140666,0.06871245133314442,0.01977114572923779,-0.08186173955239351,0.12401695173547082,-0.012384793037105617,-0.0574464851801761,-0.043862622630426916,0.022590029727097893,-0.05972269663502391,0.02270288048224422,-0.08268490205210616,0.017269204441050297,-0.01358673456613398,0.0001263650901246807,-0.09473605578635565,0.014853142267737715,-0.05491916780365876,0.04447758234945874,0.057552965990926436,0.012317839505871512,0.08298644015493278,0.003906934374145169,-0.06023713396560826
cat__video_channel_Jess Bloise,0.018108245942689432,-0.007677284702366183,-0.007036664954218596,0.008619183778483567,-0.021604026972101145,0.0004687444515094619,0.023972920194781235,0.013220434092379958,0.03423278580602579,0.021802679951236987,-0.04210161471931777,0.06812727918044839,-0.12350220702689499,0.004983285944784498,0.07584416402134862,-0.06041921416398314,-0.10009576547457477,-0.03884369309038916,0.01356213836252712,-0.007112242430972069,0.0058987291531466535,-0.0012079626843239412,-0.025658939225295444,-0.04092638562604922,-0.017196395297610606,0.02902254099626927,-0.04156981091690544,-9.296471104898324e-05,-0.11819143336274957,-0.04914971417046438,0.044303446739034254,0.05521995897149521,0.024832669697040413,0.03586397698481179,0.1950547833797166
cat__video_channel_Jessica Mattos,0.001879418292247973,0.014168716635833268,0.009596808257211726,0.049843531577517336,-0.0177169297635166,-0.007153988423708684,0.013120106695470882,-0.008098759878365521,0.05474005091110326,0.007497401854535022,-0.005937752718316461,0.02985314751595436,-0.023944268618378298,0.08416367345396443,-0.006807115120338571,0.0007107651261384346,-0.012151455845797469,-0.017625530303210058,0.0286773866943547,-0.0002854190185556552,0.007002062678452405,0.0061033961527536314,-0.004259304755022984,-0.01820256427886547,0.012034296858860725,0.030792752092481803,0.01408833786116368,-0.026945899374958126,0.0012336962552972769,0.0472314952020961,0.022442569361930453,0.02781017459076081,-0.020434337848442594,0.009386447339233096,0.020747525022018647
cat__video_channel_Jessica Mendez,-0.00875870437175986,-0.012794971897700201,0.024388384826578426,0.010124506107222677,-0.023963288930117663,-0.00922644476782288,0.0005982605822693857,-0.0019973661863714556,0.0723762820491278,0.03779149354880945,0.042276068865744164,-0.036930542376405126,0.023405811124964256,0.07360154559041285,-0.11992508545923694,0.09381221899389282,0.0578692261022212,-0.015486426760195961,-0.018676946070770355,0.019529825009271848,0.01799808018028616,0.03863896191248023,0.0031333601881803467,0.017458944419511548,0.021439520673412916,0.005708588058755275,0.01561925856583649,-0.00774155365212232,-0.008458498033887587,0.06830637880488484,-0.04850590227003334,-0.021548732154337145,0.01007339335295565,0.0046424608296367804,-0.03765713637699421
cat__video_channel_Jheniffer Ogawa,0.015127001151651765,0.027354749177739862,0.011406480207068914,-0.001633294913316038,-0.013569031811424097,0.011360189348334642,0.01477098105253353,-0.01627916046523918,0.04438754231872112,0.03825079010666891,-0.01705981479115961,0.08573236730640221,-0.14403198316566374,-0.007087506353259328,0.17435975724341396,-0.00826669587551936,-0.0656994979662344,-0.1364102704779619,-0.11412894225827581,0.008098210048344824,0.008430427496288131,-0.02512240645765235,-0.0711250855191367,-0.013773906349477155,-0.14072560194354156,-0.022207809535858998,0.0711720321508364,0.11706341197440241,0.005702667846827501,-0.0023110029792106873,-0.057831126713187415,0.04106749326236465,0.000760506352090194,-0.05004224462247085,-0.035876564861248725
cat__video_channel_Jheyd Alexandre,-0.005137364250437422,-0.16281417671939066,-0.015086015852636692,0.004511799733608851,0.00654255311211684,-0.003543905829906676,-0.021024987772560313,-0.003654414819488787,-0.00556045911239675,0.016469475020481336,0.05338562586216997,0.027922066651753553,0.004419674286671416,-0.029235941591007657,0.11375323399298906,-0.039374884606122706,-0.009088479220360084,-0.004208384798510481,-0.001840888473131145,0.000789145708246154,0.006123693576930449,0.009200324377946859,0.05127299443008618,-0.006099051044018623,-0.0026416334896126746,0.027454233616906906,0.001254862209068012,-0.03857723564815302,0.06663881244641484,0.11987121126541733,0.034910690400325864,-0.028310215664913815,-0.08314045406772681,0.04451416472014195,-0.03646204106278558
cat__video_channel_Joacyr Rago,0.06332671417587786,-0.004678799903008313,0.002938777861879161,0.00011078565472314556,-0.013523724918546169,-0.004179117218527815,-0.017942739983096867,-0.002763143186731199,0.03283676765119432,0.053035304174094695,-0.05555698857221733,0.0563141146100616,0.032178775204923994,-0.06644424300940291,0.06804164991126581,-0.17044960722332878,-0.01874490425384142,-0.07662644246222731,-0.1553800556879539,0.05164937285421008,-0.0808198847202542,1.831842196396796,-4.32696567560592,0.2671998176673408,-1.3371146166033216,-0.32257619147985184,0.3322600570929637,0.19933997127116862,-0.08650798846345936,0.2510643305498285,-0.3595386360971312,-0.13861166320246246,0.07914232952537023,-0.046447950497023556,-0.12927424291534279
cat__video_channel_Joana Fagundes,0.0018248335033687222,-0.00835249202186469,-0.003957973067877503,0.026650687553990342,0.003367308273553299,0.00886793909143388,-0.015729047597716962,-0.016146641056716902,0.008838598711271687,0.045387560605640906,0.04035118866242378,0.010743516175293236,0.08414016027606463,-0.006423068854769171,0.012210855069875895,-0.06277059381583178,0.039371978247873404,-0.026263690774397993,-0.003978524080076322,0.049345140169067166,0.046369728883107045,-0.06148094133940813,0.02657016401046501,0.018301831285096253,-0.11273467303668075,-0.01529516870978539,0.026081169214004975,0.02187896776833872,0.03623209019173985,0.05039775167341493,0.08079859100552156,-0.06487426308676869,0.03592414434123325,0.002602568912070805,0.03205313233913282
cat__video_channel_Joao Braga,0.005065243731510218,0.011644174787892241,-0.000980270643100416,0.008920010517699835,-0.02000109259128093,-0.0028106481495382423,0.01171832006216249,-0.011038484962782171,-0.04589244611075089,0.019109137436918996,0.023703017597069248,-0.03220638223849429,0.16921059172498906,-0.02022062533240266,-0.075662817705386,0.0019881359340675484,-0.19456511960940687,-0.02262004880594052,-0.11166009656731408,0.018601149704708095,0.04527234696378521,-0.035075027081291545,-0.08399185977675641,0.030296730555530917,0.050822167073521635,-0.02319820339272616,0.04202390381163798,0.006693456512234208,0.009894804686985679,0.020899680193383237,0.0670573708321763,-0.09295766003737266,0.09475926347503769,0.06126922894561731,-0.6792421103850284
cat__video_channel_Joao Pedro e Fernando,-0.002959169745645408,0.014326423873924389,0.005475407948234975,0.03800393158526176,0.0027592825459266395,0.004287869789464824,-0.0058115830408420836,-0.01257038400781243,0.05462044455562341,0.05615468531630353,0.014136960149830636,0.06254906187544279,0.04948042813884723,0.04796629335131614,0.06523372162900665,-0.054712087250344404,0.03873641318042191,-0.018847455287214595,-0.016335442210145063,0.016368650474342303,0.015141557454678926,0.0216194590100812,0.014473272783331659,0.017327735217023583,0.023632253717705713,-0.004193857755192773,0.02489355237364585,-0.015192708064097872,0.004003192253048181,0.026320682423419502,-0.007791794755193381,-0.0035271774780721147,0.013736121285994097,-0.018090335355521788,-0.023052984201160618
