artist_name,genre,youtube_url,segment_start_sec,segment_duration_sec,duration_sec,sample_rate,tempo_bpm,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_01_mean,chroma_02_mean,chroma_03_mean,chroma_04_mean,chroma_05_mean,chroma_06_mean,chroma_07_mean,chroma_08_mean,chroma_09_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,onset_strength_mean,onset_strength_std
EDM87,DJ,ytsearch1:EDM87 official audio,59.5,10,19.474,22050,143.5546875,0.23334769904613495,0.0468490868806839,0.07353143157777116,0.019142507666124943,2101.3781433297786,363.6321336636211,2598.8860030728974,260.2103394891779,4742.424918755587,948.2545711838933,0.014060841873288155,0.009399544447660446,-49.529144287109375,97.83132934570312,9.130738258361816,25.80507469177246,6.606419563293457,7.210630416870117,13.884507179260254,6.14732551574707,6.185554027557373,3.4369797706604004,-4.63021183013916,7.5063796043396,0.9517028331756592,0.4233330190181732,0.3089151382446289,0.47123679518699646,0.2900635004043579,0.2834969758987427,0.3840181827545166,0.23951342701911926,0.22473472356796265,0.21488283574581146,0.368307888507843,0.49709680676460266,0.31638380885124207,1.078322410583496,0.7069101333618164
Sabrina Carpenter,DJ,ytsearch1:Sabrina Carpenter official audio,59.71,10,19.674,22050,103.359375,0.3078891932964325,0.09420899301767349,0.11133215562352594,0.05543122610672963,3060.07871478013,745.2849316250786,3151.29774183558,345.55253883205364,7080.881514639224,1505.7849481224653,0.042917490005493164,0.04415934532880783,-14.02645206451416,64.87329864501953,16.434999465942383,20.983440399169922,11.297298431396484,2.3386924266815186,2.603649616241455,-4.188872814178467,4.55894660949707,-1.4095990657806396,-3.362760543823242,0.22190749645233154,-0.6596090197563171,0.4368685185909271,0.42672857642173767,0.560582160949707,0.4318724274635315,0.4288415014743805,0.2709152400493622,0.23601126670837402,0.32612738013267517,0.2910784184932709,0.3715474605560303,0.32574135065078735,0.39662307500839233,1.5612882375717163,1.5996605157852173
Avicii,DJ,ytsearch1:Avicii official audio,151.35,10,11.374,22050,123.046875,0.295138418674469,0.06457854807376862,0.11120057397959184,0.06688859044895754,2530.608399775619,800.738397805821,2688.1364340234036,338.1252003396366,5631.96533203125,1459.312114792231,0.030166007578372955,0.03549329563975334,-16.088443756103516,82.06367492675781,3.2991549968719482,31.933378219604492,17.163257598876953,11.244999885559082,2.46535062789917,16.6765193939209,-1.8320300579071045,14.994519233703613,6.407013416290283,-0.027679910883307457,8.089770317077637,0.35455089807510376,0.4829612672328949,0.5335404276847839,0.37460246682167053,0.3730953335762024,0.3673413395881653,0.5359238982200623,0.49956265091896057,0.49946868419647217,0.5974869132041931,0.38515937328338623,0.3904494643211365,1.4499988555908203,1.2132518291473389
Gene Dunlap,DJ,ytsearch1:Gene Dunlap official audio,47.43,10,17.374,22050,123.046875,0.10980864614248276,0.03453604131937027,0.11144807660213618,0.08121746015046384,2359.803192793586,937.6198493248077,2386.429925738389,453.2496892568757,4670.405136536215,1743.6265252765563,0.030305182561278343,0.05027296394109726,-122.73416900634766,90.55903625488281,-8.873793601989746,26.348342895507812,1.8381977081298828,1.4074077606201172,6.683953762054443,5.711817741394043,-4.275820732116699,0.6178188323974609,-7.720919609069824,2.7347452640533447,-3.508800745010376,0.3327847719192505,0.3533704876899719,0.3199895918369293,0.3308781087398529,0.4601503610610962,0.3096766471862793,0.450257271528244,0.36892011761665344,0.25052282214164734,0.1928291618824005,0.25833630561828613,0.4455401301383972,1.5565011501312256,1.708251953125
DJ Japa NK,DJ,ytsearch1:DJ Japa NK official audio,101.26,10,11.274,22050,129.19921875,0.27193862199783325,0.13423217833042145,0.08195991673096707,0.07519926145531208,2569.947365833175,1140.8278155851215,2856.6536067903066,562.3703339396865,5939.841037326389,2364.43528105216,0.02334708906710148,0.04888990521430969,-96.86203002929688,80.2026138305664,20.904848098754883,3.536004066467285,1.8705601692199707,-3.357243537902832,-1.736196517944336,-2.096132278442383,-11.383058547973633,5.277539253234863,-0.9982761144638062,5.469012260437012,0.9987657070159912,0.3036158084869385,0.3272157609462738,0.30227798223495483,0.4994164705276489,0.38439756631851196,0.31552860140800476,0.38336265087127686,0.3853326141834259,0.5883148312568665,0.3597993552684784,0.2671300768852234,0.27368736267089844,1.9151439666748047,2.259812355041504
Edimilson Batista,DJ,ytsearch1:Edimilson Batista official audio,103.91,10,13.874,22050,95.703125,0.3065643906593323,0.05631646886467934,0.15015220004180602,0.08142820653168427,3194.292246268623,843.2465291272342,3071.4115940033494,337.20039738709426,7099.745530348558,1486.8635808965541,0.04506397619843483,0.045584987848997116,0.1449703425168991,60.50716018676758,23.406492233276367,27.12980079650879,5.127218723297119,6.242443561553955,1.066725254058838,1.0839225053787231,0.73835688829422,-3.3171775341033936,-1.5474077463150024,-1.9784135818481445,-4.997253894805908,0.3353152275085449,0.3119359314441681,0.3438149094581604,0.24483032524585724,0.28967908024787903,0.25401434302330017,0.3964025676250458,0.3351704180240631,0.3367334008216858,0.5109397172927856,0.30174025893211365,0.3365538716316223,1.7244889736175537,2.0272321701049805
Housefires,DJ,ytsearch1:Housefires official audio,378.66,10,18.674,22050,103.359375,0.1651817411184311,0.042659904807806015,0.0869917022515528,0.05607074332918698,1903.9847994317688,876.3738295281696,2209.8419191234034,437.1707600706704,3851.393936820652,1725.6711617751994,0.015228492207825184,0.02590634673833847,-95.08932495117188,117.17254638671875,10.082418441772461,17.842124938964844,-3.159534215927124,16.064865112304688,-6.977263450622559,0.65260910987854,-9.365386009216309,2.391629457473755,-1.972736120223999,-8.955698013305664,-9.431686401367188,0.277818888425827,0.18105238676071167,0.20000934600830078,0.27755504846572876,0.4732478857040405,0.2703258991241455,0.37089675664901733,0.2816260755062103,0.4261718690395355,0.37439480423927307,0.32507795095443726,0.5902853012084961,1.1225675344467163,0.6962341070175171
Technotronic,DJ,ytsearch1:Technotronic official audio,241.98,10,11.974,22050,123.046875,0.15368685126304626,0.046653006225824356,0.1434742535731589,0.06898829043552966,3609.244357843304,795.2912290942355,3293.2769325900854,319.4707171176969,7722.553625772166,1166.1742110767411,0.0741114616394043,0.06160525605082512,-68.84942626953125,52.634918212890625,33.62058639526367,18.539169311523438,11.490386009216309,11.118494033813477,5.327433109283447,15.423545837402344,2.8506805896759033,11.688570976257324,-0.9169142842292786,7.3790082931518555,3.0494813919067383,0.6035240888595581,0.5365036129951477,0.48769745230674744,0.45043253898620605,0.4405386745929718,0.4283275306224823,0.5158484578132629,0.5672173500061035,0.6565977334976196,0.6974735856056213,0.6363409161567688,0.6019861698150635,1.9578856229782104,2.0668675899505615
Alok,Eletrônica,ytsearch1:Alok official audio,43.85,10,13.774,22050,129.19921875,0.39031413197517395,0.11980874091386795,0.10093200889099327,0.06389412521687413,2859.229235061261,869.8904811527732,2903.716363800659,481.0375635312574,6446.983013731061,1825.2854271198544,0.049294862896203995,0.04931551218032837,15.207971572875977,71.2014389038086,-0.522983729839325,12.033121109008789,8.780669212341309,12.610926628112793,7.002163410186768,13.185368537902832,4.9446306228637695,11.882213592529297,1.2604799270629883,9.195598602294922,4.130296230316162,0.5613190531730652,0.44615429639816284,0.45305609703063965,0.4014993906021118,0.6113282442092896,0.48544949293136597,0.4119178354740143,0.4944010078907013,0.579823911190033,0.6896604299545288,0.521725058555603,0.5649901628494263,1.5316729545593262,1.6235607862472534
David Guetta,Eletrônica,ytsearch1:David Guetta official audio,89.3,10,19.274,22050,123.046875,0.14338147640228271,0.04479631036520004,0.11741019385529483,0.07183649564633302,3086.2596800900233,827.4767118036315,3061.334090747981,360.7108295301108,6897.517697991877,1739.688781698193,0.05439034104347229,0.0607672855257988,-86.90135955810547,66.12281036376953,1.8024675846099854,11.415315628051758,8.54603385925293,4.837648391723633,11.336655616760254,0.052620384842157364,8.220396041870117,5.469602108001709,-0.8976404666900635,1.9956324100494385,-0.7418318390846252,0.46900537610054016,0.3354315161705017,0.45805424451828003,0.4214836061000824,0.29079097509384155,0.3233637511730194,0.34508782625198364,0.5168784260749817,0.44369393587112427,0.49784594774246216,0.5333067774772644,0.396249920129776,1.5031238794326782,1.1810901165008545
