artist_key,artist_name,ID_ARTISTA,estilo,formacao,cidade,uf,valor_oferta,nota,qtd_avaliacoes,n_registros_groova,n_urls_midia,has_showlivre_url,has_youtube_url,priority_media_url,priority_media_type,all_media_urls,query_showlivre,query_youtube,query_youtube_url,match_status,matched_video_url,matched_video_title,matched_channel,audio_source_type,video_platform,video_id,video_url_final,video_title,video_channel,video_duration_sec,video_upload_date,audio_download_status,audio_file_path,duration_sec,sample_rate,tempo_bpm,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_01_mean,chroma_02_mean,chroma_03_mean,chroma_04_mean,chroma_05_mean,chroma_06_mean,chroma_07_mean,chroma_08_mean,chroma_09_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,onset_strength_mean,onset_strength_std,embedding_model,embedding_path,embedding_dim,genre_tag_pred,mood_tag_pred,voice_probability,instrumental_probability,quality_flag,notes,dataset_youtube_url,dataset_other_media_url,audio_source_url,audio_source_origin,audio_confidence,audio_match_status,showlivre_match_status,showlivre_match_error,showlivre_match_score,yt_dlp_status,yt_dlp_error,yt_dlp_extractor,yt_dlp_raw_info_json,audio_semantic_score,audio_semantic_match,audio_semantic_title_hits,audio_semantic_channel_hits,audio_semantic_phrase_in_title,audio_semantic_phrase_in_channel,audio_semantic_title_ratio,audio_semantic_channel_ratio,audio_semantic_risk_terms,audio_semantic_good_terms,audio_recommender_score,audio_recommender_quality,audio_recommender_risk_terms,audio_recommender_good_terms,audio_processing_status,audio_processing_error,audio_temp_cleanup_status,audio_temp_file_used,feature_extraction_status,feature_extraction_error,audio_download_error,segment_n_used,segment_duration_sec,segment_start_times,feature_sampling_mode,audio_total_duration_sec
dj debora c zula,DJ DÉBORA C - ZULA,20079,DJ,Solo,São Paulo,SP,,1.7882,,1,0,0,0,,other,,site:showlivre.com DJ DÉBORA C - ZULA,DJ DÉBORA C - ZULA showlivre,https://www.youtube.com/results?search_query=DJ%20D%C3%89BORA%20C%20-%20ZULA%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj edson,DJ EDSON,20111,DJ,Solo,São Paulo,SP,,1.7982,,1,0,0,0,,other,,site:showlivre.com DJ EDSON,DJ EDSON showlivre,https://www.youtube.com/results?search_query=DJ%20EDSON%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj erik lara,DJ Erik Lara,15772,DJ,Solo,São Paulo,SP,,9.1675,,1,0,0,0,,other,,site:showlivre.com DJ Erik Lara,DJ Erik Lara showlivre,https://www.youtube.com/results?search_query=DJ%20Erik%20Lara%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj flavio crt,DJ FLAVIO CRT,21879,Brasilidades,Solo,São Paulo,SP,,1.7932,,1,0,0,0,,other,,site:showlivre.com DJ FLAVIO CRT,DJ FLAVIO CRT showlivre,https://www.youtube.com/results?search_query=DJ%20FLAVIO%20CRT%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj fraaan zula,DJ FRAAAN - ZULA,18956,DJ,Solo,São Paulo,SP,,1.8334,,1,0,0,0,,other,,site:showlivre.com DJ FRAAAN - ZULA,DJ FRAAAN - ZULA showlivre,https://www.youtube.com/results?search_query=DJ%20FRAAAN%20-%20ZULA%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj frank,DJ Frank,18255,DJ,Solo,Piranga,MG,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ Frank,DJ Frank showlivre,https://www.youtube.com/results?search_query=DJ%20Frank%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj freddi,DJ Freddi,3115,Ritmos Variados,Solo,Fortaleza,CE,,9.1691,,1,0,0,0,,other,,site:showlivre.com DJ Freddi,DJ Freddi showlivre,https://www.youtube.com/results?search_query=DJ%20Freddi%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj gabriella leao,DJ GABRIELLA LEAO,19053,DJ,Solo,São Luís,MA,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ GABRIELLA LEAO,DJ GABRIELLA LEAO showlivre,https://www.youtube.com/results?search_query=DJ%20GABRIELLA%20LEAO%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj giaholic,DJ GIAHOLIC,16011,DJ,Solo,Osasco,SP,,1.6667,,1,0,0,0,,other,,site:showlivre.com DJ GIAHOLIC,DJ GIAHOLIC showlivre,https://www.youtube.com/results?search_query=DJ%20GIAHOLIC%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj gigio,DJ GIGIO,17385,Eletrônica,Solo,Palhoça,SC,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ GIGIO,DJ GIGIO showlivre,https://www.youtube.com/results?search_query=DJ%20GIGIO%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
