ID_ARTISTA,familia_sonora,proba_Dinamico,proba_Quente,proba_Brilhante,proba_Pulsante
15929,Brilhante & Intenso,0.2441,0.2153,0.4196,0.121
18796,Dinamico & Contrastante,0.2859,0.2784,0.2577,0.178
21428,Brilhante & Intenso,0.2298,0.3173,0.3284,0.1244
1678,Dinamico & Contrastante,0.3239,0.2356,0.2145,0.226
16464,Brilhante & Intenso,0.2233,0.292,0.33,0.1548
17871,Brilhante & Intenso,0.2505,0.196,0.4168,0.1367
3861,Quente & Encorpado,0.1922,0.4142,0.2315,0.1621
17290,Brilhante & Intenso,0.2465,0.2312,0.3567,0.1655
7562,Pulsante & Sombrio,0.2037,0.2301,0.1762,0.39
11670,Brilhante & Intenso,0.2067,0.28,0.3696,0.1437
15376,Quente & Encorpado,0.1907,0.3881,0.2826,0.1387
10402,Brilhante & Intenso,0.1829,0.2757,0.4322,0.1093
19770,Quente & Encorpado,0.2176,0.3152,0.2005,0.2667
17775,Brilhante & Intenso,0.1632,0.3268,0.3929,0.1171
3221,Quente & Encorpado,0.1295,0.5524,0.152,0.1661
22126,Quente & Encorpado,0.1766,0.342,0.1769,0.3046
17875,Pulsante & Sombrio,0.2289,0.2336,0.2386,0.2989
15492,Pulsante & Sombrio,0.2802,0.196,0.1474,0.3764
15004,Pulsante & Sombrio,0.1964,0.2098,0.1544,0.4394
12729,Brilhante & Intenso,0.2843,0.2439,0.3417,0.1301
10413,Quente & Encorpado,0.2374,0.3103,0.2915,0.1607
16531,Dinamico & Contrastante,0.3294,0.2038,0.2104,0.2564
16168,Brilhante & Intenso,0.1391,0.278,0.4932,0.0897
11407,Brilhante & Intenso,0.3008,0.1974,0.3431,0.1587
2043,Pulsante & Sombrio,0.2262,0.1647,0.1351,0.4739
11487,Pulsante & Sombrio,0.1984,0.2564,0.1947,0.3505
11792,Dinamico & Contrastante,0.3002,0.242,0.2193,0.2385
11667,Quente & Encorpado,0.2016,0.2926,0.2769,0.2289
16062,Quente & Encorpado,0.2491,0.3059,0.2032,0.2418
12220,Dinamico & Contrastante,0.3475,0.1986,0.1762,0.2777
17605,Pulsante & Sombrio,0.2027,0.1716,0.1274,0.4983
21554,Brilhante & Intenso,0.1851,0.2836,0.4134,0.1179
10258,Brilhante & Intenso,0.167,0.2887,0.4158,0.1285
16224,Pulsante & Sombrio,0.2663,0.2548,0.159,0.3199
3200,Quente & Encorpado,0.2,0.3795,0.2215,0.199
16151,Quente & Encorpado,0.2051,0.3592,0.3094,0.1264
3323,Dinamico & Contrastante,0.3934,0.1871,0.2586,0.1609
21225,Quente & Encorpado,0.1529,0.3772,0.3429,0.127
12054,Brilhante & Intenso,0.2404,0.2247,0.3642,0.1707
15761,Brilhante & Intenso,0.1962,0.3003,0.3728,0.1306
15294,Quente & Encorpado,0.1577,0.3852,0.2897,0.1674
10681,Quente & Encorpado,0.2454,0.3162,0.2856,0.1528
13145,Dinamico & Contrastante,0.3664,0.193,0.1822,0.2584
10598,Dinamico & Contrastante,0.415,0.17,0.1689,0.246
13103,Quente & Encorpado,0.1875,0.3891,0.2475,0.1759
19856,Pulsante & Sombrio,0.2028,0.2139,0.1577,0.4255
12624,Brilhante & Intenso,0.1941,0.1881,0.5127,0.1052
3256,Dinamico & Contrastante,0.3523,0.2266,0.1773,0.2438
17853,Pulsante & Sombrio,0.3124,0.1813,0.1593,0.347
3561,Brilhante & Intenso,0.2022,0.2889,0.3434,0.1656
12187,Quente & Encorpado,0.2128,0.351,0.27,0.1663
13349,Brilhante & Intenso,0.2067,0.2282,0.4105,0.1545
10731,Brilhante & Intenso,0.3094,0.1927,0.3881,0.1097
22637,Dinamico & Contrastante,0.374,0.1823,0.2389,0.2048
11415,Pulsante & Sombrio,0.3442,0.1503,0.1353,0.3702
16465,Quente & Encorpado,0.1887,0.3204,0.249,0.2418
1892,Quente & Encorpado,0.145,0.4272,0.2667,0.1612
21865,Brilhante & Intenso,0.1392,0.302,0.45,0.1087
12071,Brilhante & Intenso,0.1853,0.2499,0.4571,0.1076
20664,Brilhante & Intenso,0.276,0.2659,0.2925,0.1656
15800,Brilhante & Intenso,0.2559,0.2364,0.2841,0.2236
13324,Brilhante & Intenso,0.1679,0.1641,0.5768,0.0912
11964,Brilhante & Intenso,0.2218,0.2824,0.3407,0.155
21409,Quente & Encorpado,0.1647,0.4189,0.2376,0.1789
18632,Dinamico & Contrastante,0.3315,0.1959,0.2252,0.2473
19578,Quente & Encorpado,0.1676,0.3506,0.2523,0.2295
20970,Brilhante & Intenso,0.2293,0.204,0.4555,0.1113
22423,Dinamico & Contrastante,0.353,0.2195,0.204,0.2234
20426,Brilhante & Intenso,0.1875,0.2651,0.4287,0.1187
11659,Dinamico & Contrastante,0.4716,0.1607,0.2201,0.1476
15194,Quente & Encorpado,0.1414,0.3698,0.3352,0.1536
18623,Brilhante & Intenso,0.1951,0.3308,0.3432,0.1309
2514,Pulsante & Sombrio,0.1785,0.2971,0.1843,0.3401
3216,Brilhante & Intenso,0.1883,0.2537,0.4175,0.1405
4360,Pulsante & Sombrio,0.3202,0.1748,0.1784,0.3266
12608,Pulsante & Sombrio,0.2434,0.2845,0.1563,0.3157
21817,Quente & Encorpado,0.1548,0.4381,0.2489,0.1583
22448,Quente & Encorpado,0.1495,0.4569,0.2475,0.1461
12758,Brilhante & Intenso,0.194,0.3343,0.3518,0.12
11364,Quente & Encorpado,0.2378,0.2842,0.2691,0.209
21799,Brilhante & Intenso,0.2129,0.2698,0.3744,0.1429
1342,Brilhante & Intenso,0.2024,0.2122,0.4856,0.0998
19440,Quente & Encorpado,0.1998,0.3497,0.3113,0.1392
2005,Dinamico & Contrastante,0.2963,0.2021,0.2219,0.2797
9863,Brilhante & Intenso,0.3185,0.1926,0.3361,0.1528
10494,Brilhante & Intenso,0.1525,0.3111,0.4009,0.1355
18877,Brilhante & Intenso,0.2963,0.2441,0.3255,0.1342
11520,Quente & Encorpado,0.1598,0.346,0.331,0.1632
3506,Pulsante & Sombrio,0.2429,0.2198,0.2627,0.2746
1740,Pulsante & Sombrio,0.2091,0.2682,0.1774,0.3452
13158,Dinamico & Contrastante,0.3621,0.1579,0.2865,0.1935
4077,Quente & Encorpado,0.1492,0.4784,0.2319,0.1404
17154,Brilhante & Intenso,0.1874,0.2655,0.3974,0.1497
12190,Dinamico & Contrastante,0.3338,0.2079,0.1791,0.2792
13040,Brilhante & Intenso,0.2694,0.2195,0.3561,0.1551
19069,Pulsante & Sombrio,0.2371,0.2318,0.2228,0.3083
17881,Dinamico & Contrastante,0.3344,0.2208,0.2053,0.2395
11543,Quente & Encorpado,0.1935,0.3323,0.24,0.2342
21669,Quente & Encorpado,0.2446,0.2958,0.2777,0.1819
11251,Dinamico & Contrastante,0.2856,0.2283,0.2524,0.2337
12479,Pulsante & Sombrio,0.3095,0.1721,0.1681,0.3503
18773,Dinamico & Contrastante,0.3494,0.1918,0.152,0.3068
22604,Pulsante & Sombrio,0.2712,0.1867,0.1486,0.3935
9795,Dinamico & Contrastante,0.3002,0.2216,0.1965,0.2817
17884,Brilhante & Intenso,0.1545,0.3278,0.4086,0.1092
16274,Quente & Encorpado,0.1224,0.5219,0.2225,0.1333
10892,Brilhante & Intenso,0.1958,0.2178,0.455,0.1314
15171,Pulsante & Sombrio,0.1517,0.2341,0.1309,0.4833
2491,Brilhante & Intenso,0.163,0.2773,0.4459,0.1137
19195,Quente & Encorpado,0.198,0.3272,0.25,0.2248
18753,Brilhante & Intenso,0.2667,0.1633,0.4548,0.1152
16419,Brilhante & Intenso,0.2619,0.2307,0.3359,0.1716
22211,Brilhante & Intenso,0.2183,0.266,0.3825,0.1331
22115,Quente & Encorpado,0.1392,0.4466,0.2667,0.1475
20986,Brilhante & Intenso,0.142,0.2018,0.5679,0.0884
20334,Pulsante & Sombrio,0.2373,0.2508,0.1648,0.347
18408,Brilhante & Intenso,0.1541,0.3198,0.403,0.1231
16948,Pulsante & Sombrio,0.1908,0.2539,0.1701,0.3851
10998,Quente & Encorpado,0.1383,0.4682,0.2196,0.1738
10380,Dinamico & Contrastante,0.3784,0.1873,0.3025,0.1318
11591,Brilhante & Intenso,0.2157,0.2489,0.4022,0.1333
18740,Quente & Encorpado,0.2235,0.3322,0.2957,0.1487
11707,Dinamico & Contrastante,0.3757,0.1602,0.1607,0.3033
18735,Pulsante & Sombrio,0.2159,0.2419,0.1759,0.3662
17081,Dinamico & Contrastante,0.3166,0.2593,0.2612,0.1628
3317,Quente & Encorpado,0.1472,0.4628,0.2352,0.1548
20307,Brilhante & Intenso,0.2145,0.2436,0.4074,0.1345
4359,Brilhante & Intenso,0.1689,0.326,0.3634,0.1417
16009,Brilhante & Intenso,0.1672,0.332,0.3464,0.1544
1544,Brilhante & Intenso,0.2883,0.25,0.3382,0.1235
12060,Dinamico & Contrastante,0.4433,0.1687,0.185,0.203
1900,Brilhante & Intenso,0.3109,0.232,0.3132,0.1439
15461,Dinamico & Contrastante,0.4304,0.16,0.2536,0.156
10994,Pulsante & Sombrio,0.1908,0.2973,0.1886,0.3232
3858,Pulsante & Sombrio,0.2102,0.2621,0.2011,0.3266
18806,Brilhante & Intenso,0.2305,0.281,0.2916,0.1969
11270,Dinamico & Contrastante,0.3664,0.1847,0.2395,0.2093
15750,Quente & Encorpado,0.1528,0.4262,0.284,0.137
6282,Brilhante & Intenso,0.2102,0.1954,0.4822,0.1122
22594,Brilhante & Intenso,0.1904,0.2929,0.3928,0.1239
17039,Pulsante & Sombrio,0.2966,0.1846,0.1762,0.3427
19762,Pulsante & Sombrio,0.265,0.1938,0.2151,0.3262
12781,Brilhante & Intenso,0.1976,0.307,0.3488,0.1466
17525,Pulsante & Sombrio,0.1744,0.2446,0.1599,0.4211
21251,Brilhante & Intenso,0.1489,0.3108,0.3899,0.1504
11125,Dinamico & Contrastante,0.4161,0.179,0.2485,0.1564
18252,Quente & Encorpado,0.2111,0.329,0.2241,0.2358
12252,Brilhante & Intenso,0.2221,0.2717,0.2866,0.2196
20811,Brilhante & Intenso,0.2025,0.2661,0.3725,0.1588
12906,Dinamico & Contrastante,0.3854,0.1599,0.148,0.3068
9814,Quente & Encorpado,0.1977,0.345,0.2945,0.1627
10710,Pulsante & Sombrio,0.2208,0.1941,0.1307,0.4544
22676,Brilhante & Intenso,0.2533,0.2583,0.3638,0.1246
20421,Pulsante & Sombrio,0.2972,0.1761,0.1563,0.3704
11340,Dinamico & Contrastante,0.4869,0.1458,0.1627,0.2046
4417,Brilhante & Intenso,0.2601,0.2051,0.3633,0.1715
3241,Pulsante & Sombrio,0.2716,0.2204,0.2087,0.2992
4155,Brilhante & Intenso,0.2563,0.2014,0.3979,0.1444
21294,Dinamico & Contrastante,0.344,0.1879,0.1764,0.2916
10254,Brilhante & Intenso,0.1655,0.3401,0.3956,0.0988
15088,Dinamico & Contrastante,0.3753,0.1867,0.2196,0.2184
10292,Brilhante & Intenso,0.1945,0.1731,0.5459,0.0865
3939,Dinamico & Contrastante,0.4389,0.1729,0.2024,0.1858
