,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7
cat__artist_name_@Maury,0.03915809298442388,-0.04199516540129294,0.2955868595108453,0.5328025195380687,0.11081657396140966,0.08182345245192742,-0.05041486915006058
cat__artist_name_@akachief_,-0.013860861539483947,0.0052548715172369585,0.05830214501189841,0.22645665134709914,-0.18013086954398186,-0.052907459053925195,0.8324855231656122
cat__artist_name_@juniordullys,0.002150252534814808,-0.0726290126255473,-0.042388667150773135,-0.00479895807092345,0.056884920165437905,0.07921645325525531,0.5349197337004842
cat__artist_name_@kauerodriguezoficial,-0.017900329791094623,0.011368029591599507,0.036661773054244805,-0.013365770987593263,-0.12103524155815941,-0.04366368453494193,0.07730303682111198
cat__artist_name_A Banda MM Duo,-0.054575736279047486,-0.06331272626224056,0.08778771577147511,0.03647290812748675,0.14431542802258215,-0.10120709652012418,0.09605795014351602
cat__artist_name_A Firma Roda de Samba,-0.004166023576142056,-0.35796714140783975,-0.058525093160728126,0.025433728515776192,-0.1604283054399605,-0.8482229210817472,-0.03840087606691296
"cat__artist_name_A História do Blues, por Phill Gorczeski",0.024094392621872573,0.03413754114769703,-0.052314261777601526,-0.07742229844723368,0.15143653871056864,0.1779052109603499,0.14286526695035562
cat__artist_name_A Hora do Blues,-0.04678855907182136,-0.021669499544735293,0.1225399267812592,-0.21167892849742811,0.04997423073775346,0.4840702830303127,0.026892899729275985
cat__artist_name_A Kavalarya Country Music,0.043178915641637346,0.11201238688141467,-0.054705366339904096,-0.0034682944225044835,0.07610895036300917,-0.11182467547505061,0.07504755303025626
cat__artist_name_A NOITE NUNCA TEM FIM,-0.02830491133193164,0.03722817178776912,-0.010270075038500668,-0.028937744737328144,-0.05536790588340854,-0.12433401931523906,-0.0035667127609992845
cat__artist_name_A Novidade,-0.016012830569941468,-0.09006565591473192,-0.1933904272579448,-0.1075495356737074,-0.03671047696310939,0.0488540693808336,-0.012650913614591364
"cat__artist_name_A SAGA DO SAMBA ENREDO """"""CANTA MEU SAMBA""""""",-0.0248794478522054,0.2599138897481445,-0.05717418538412878,0.12756260377920223,-0.20517857927705926,-0.017764737021050466,-0.026916244640125965
cat__artist_name_A Trilha,-0.02672295592466577,-0.03860370492525381,-0.2046183214025917,0.01294614665008762,-0.03258041358526725,-0.11617966331341213,0.5854033633107408
cat__artist_name_A. Jatobá,-0.02940162635077923,-0.04811484307266732,0.021904691343099553,0.06302348449930646,-0.09138480541545697,0.12119955874606207,0.040243302566292
cat__artist_name_ACABOU A BRINCADEIRA,-0.0979890725812748,-0.1030052716201873,0.04184048331351062,0.010929814552213606,0.13060566872378468,0.1275289978710167,-0.005292118474211887
cat__artist_name_ACUSTICO .3,1.4752403137110444,0.6625577040885114,-4.080584020126583,-7.735827740692463,0.23250874908853608,-1.2377283440332834,0.3232710723721175
cat__artist_name_ACUSTICO 2,-0.1509859408378315,-0.036102815621731565,-0.21353705018622535,-0.060764308486085675,0.01264841281133678,0.31011774305100764,-0.24971896187999026
cat__artist_name_ADORA,-0.019103064637356525,0.013046557940332802,-0.15315392267477518,-0.24151210005708743,-0.030932436546596585,0.18555298078002852,-0.03896566259234274
cat__artist_name_ADRIANO CARVALHO JAZZ TRIO,-0.08875138813232387,-0.017718097960540677,0.8964983244827438,-0.7885232087417041,-0.247286000896908,0.2395463959326458,0.011072588268040954
cat__artist_name_AL BUD TRIO,0.031245681656076156,0.025718624865263967,0.10529179197295338,0.10436537691931448,-0.19662562877808426,-0.09407621877971778,-0.04291082944614295
cat__artist_name_ALA SHOW RP MUSIC,-0.050755965999294134,0.25199153178294315,-0.09552301380797898,-0.0057029374588771515,-0.05136534892028781,-0.1741715659434731,-0.06457521793437544
cat__artist_name_ALAN MORAIS,-0.030601813851098433,-0.009273485375001531,-0.08964250126935405,0.04205250479121919,-0.7779951199167858,0.4370144074008534,-0.3568531616416628
cat__artist_name_ALESSANDRO FREITAS,0.00979518521052345,0.020025575134056166,-0.1683001301192566,0.2264162994520231,0.12295012478632054,0.10507644448912355,-0.1538599077701198
cat__artist_name_ALEX PIRES,0.21198234146453088,-0.003629947235332859,-0.04398545728488907,-0.2835035128436236,0.10417672964169147,-0.10915933996279646,0.04061132159903895
cat__artist_name_ALEX ZAMBRANA,-0.034238161029935196,-0.057670402428760315,-0.05005182214781299,-0.06161947792566008,-0.12967735850068188,-0.437299807993907,-0.052864253678557314
cat__artist_name_ALEXANDRE LOUREIRO,-0.34350556039032965,0.3250080604883201,0.10669306471561668,0.39418185290492813,0.015250160393811265,-0.20694356596253374,-0.09554260808915835
