,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7
cat__artist_name_Acusticados,-0.07165474187317511,-0.03041807725521113,-0.13783520850636782,0.008755423145647428,0.3327342203239899,0.15211725616676972,0.023667835268512964
cat__artist_name_Acusticados Trio,-0.02854951753323339,-0.026007011537821118,0.08285676505947208,-0.15027050939103534,-0.17097712781821778,-0.20774210398171172,0.04705820592259062
cat__artist_name_Acustico Just Duet,-0.021958190497155944,-0.08458422672113339,-0.1440899642733387,-0.14257794011661942,-0.0639162713555399,0.13901197841721497,-0.06585050546307995
cat__artist_name_Acustico Maria Loka,-0.06249949803254308,-0.07455658744029743,-0.04992736339305394,-0.01571383768531187,-0.18862268579103852,-0.5732499410657041,-0.09484268049545691
cat__artist_name_Acustico ao vivo,0.03728565301438098,-0.018665033487085383,0.11648658102110813,0.06086211976529559,-0.038090134763400674,0.013114447394470145,0.10904136906677585
cat__artist_name_Acústico,-0.02882194658607185,-0.10473066332844658,-0.50911743056856,-0.6481519980999225,-0.7027553735913044,-1.6646564546117295,-0.11700778792405493
cat__artist_name_Acústico André Lima,-0.00915656210329524,-0.03362646817337207,0.07692268104793652,0.17871284878875768,0.0004038219687036715,0.12883067786219055,-0.01722637544756667
cat__artist_name_Acústico Black White,-0.9706591883382234,-0.5372282440260796,2.9461214522150425,5.692178783684199,-0.0169663508400694,1.1073502088640694,-0.24524698186952998
cat__artist_name_Acústico Cy Andrade,0.38237340260784586,0.04785159623142363,-0.0322312559183804,-0.011195518308968255,0.025440767938387284,-0.017473334200564725,0.011471615006053327
cat__artist_name_Acústico Duda Becker - rock e pop rock,-0.023993434692118384,-0.12802108170149218,0.07980147535350962,0.10734139358203203,-0.0856590152655051,-0.2276379281532934,0.04492910706235188
cat__artist_name_Acústico Felipe Salanti,0.4247679472131994,0.06740765002432594,-0.001800882504984452,-0.014863247070668028,-0.037730914749827295,0.05975702352121317,-0.03332268568712111
cat__artist_name_Acústico Gabi Laís,0.2874848800847017,0.017566789661175218,-0.1544246734614869,-0.012833130685754437,-0.08731437526600809,0.0453230351316612,0.008627110790204423
cat__artist_name_Acústico Helô Rodrigues,-0.05569141500253487,-0.07008533065373088,0.0884833568768928,0.22036780180142435,0.16908718066513415,0.10702908076815403,-0.031550501572870565
cat__artist_name_Acústico Katia Pardini,0.26189486627018715,0.010156054958144374,-0.16435424997584067,-0.04940123783562407,0.016177973574292136,0.13042514062012933,-0.08402677736861885
cat__artist_name_Acústico MPB,0.6390867873508518,0.07379437300055332,0.04013454487279682,-0.44336935786613524,0.36062684327375605,-0.22427988860624354,0.21992281274641776
cat__artist_name_Acústico Mais completo,0.04645758033800318,0.42014556005059145,0.6155814306694127,-0.28439910144047315,0.17134265608434557,-1.1506280142972543,0.281974531878612
cat__artist_name_Acústico Sanchez,0.025958917255047783,-0.06913411593850212,-0.07430517894732326,0.06195578850555537,-0.19822009696928006,-0.05835226463175691,0.003132050620285232
cat__artist_name_Acústico Thiago Rosa,-0.08150918364961521,0.028269843223267338,0.028344411766648696,0.11049415013426424,-0.14909049538136557,-0.3114988817928006,-0.14640701274292578
cat__artist_name_Acústico Yuri Fernandes brasilidades,-0.05619593071498678,-0.13128891084788047,0.2739746559156287,0.5402393164520063,0.2866205783387502,0.22306595047077193,0.020394117951853776
cat__artist_name_Acústico do PH,-0.02542832680844075,-0.023404320640656638,-0.12205615767807272,-0.05579324489296156,0.0039825793837365,0.10775095957294657,0.08357291900753087
cat__artist_name_Adailson Oliveira,-0.0505659845944499,0.2889571400519945,-0.0663355095214766,-0.09692874727231898,-0.12120687090100431,-0.09188383346280446,-0.07741744020807467
cat__artist_name_Adam Fauze,-0.007699969272376941,-0.06916209792528615,0.10651635285228458,0.13913579989306907,0.04098991752785626,0.05894125932438643,0.0649496624437925
cat__artist_name_Adauto farias - brasilidades,0.0026858871013070527,-0.020954332969718246,0.15802064185118275,0.3071205270695262,0.07065565581806524,0.08720501661190508,-0.02165905499048291
cat__artist_name_Adilson Doná,-0.1171338029137092,0.5057050395577736,-0.03001297582809906,0.03344260389898666,-0.0011333175511214304,0.019308800096490573,-0.03702722685918598
cat__artist_name_Adonis Solo: Nostalgia Internacional,-0.013639123106671135,-0.21281113424115897,-0.8413662308347479,-1.234626194633352,-0.4727450961366537,-0.5141484268526231,-0.07291867628042514
cat__artist_name_Adonis internacional Acústico,-0.05750190694064738,-0.012390581156324288,0.5483222494067687,0.8750249675955593,0.35566218781146813,0.3717667305195093,0.028436605452640453
cat__artist_name_Adrian e Adriano,-0.07526850146551829,-0.01772321899777562,-0.07846836448195742,-0.088084504739184,0.14491822824240755,-0.11717264233739925,-0.054859901815284454
cat__artist_name_Adriana Soares,-0.10432185532178535,-0.06500423954487286,0.2750066934217988,0.3785653800031428,0.061729435486205464,0.15194063272738606,0.010180752597058166
cat__artist_name_Adriano Caconde E Banda,-0.030398656270482147,-0.011197826186495737,-0.054595655825194045,-0.10557869941363573,0.20297581731914832,0.05962872416722572,0.05117557249448988
cat__artist_name_Adriano Grineberg Piano Blues,-0.023962834725603236,-0.06164231024150931,-0.025713084068512308,0.000248538904736571,-0.08618527628010494,-0.2998669558035644,-0.029837541320493204
cat__artist_name_Adriel Fernandes Voz e Violão,0.425436017521365,0.054471748931693216,0.005193203073593189,-0.0347811018214491,0.006550150217632535,-0.01153636549235473,0.0014861408027598436
cat__artist_name_Adryana Ribeiro Pagode 90,0.2557377092555483,-0.022209474167991693,0.2317299768313748,0.15563662243141954,-0.528263356466175,-0.24812056334322513,0.46724461857389576
cat__artist_name_Afonso Penna,0.29027205825089675,0.040848728813512876,-0.0068887285049462,-0.03978458446918257,0.17986877727514364,0.09257704633138003,-0.0028688920107422583
cat__artist_name_Afrika Billy,0.2288297946592719,0.09528852083021139,-0.0213186179468169,-0.034616012003794557,0.09275369435126934,0.14765504856474834,-0.01918235154056533
cat__artist_name_Agatha Souza,-0.06330690850282447,0.026376272017515873,-0.07218751659772468,-0.12092219583328387,0.1518012997496426,0.0033124335370627836,-0.0031795251603976933
cat__artist_name_Akay - Banda,0.009284259217633565,-0.03590580537185184,-0.08201599744381972,0.02049914855647058,0.008734841804631976,-0.04097491115448382,-0.0010151178408062708
cat__artist_name_Alaby Papo de Corda,-0.03740569165487886,-0.05292600068862056,0.10597171402086046,0.23530658970888313,0.09754354505232436,0.15779788900417904,-0.0381105201602695
cat__artist_name_Alan Fernandes,0.23407384514565147,-0.014168006381670116,-0.12564066470740456,-0.08591657406791856,-0.024862228528539445,0.17000841909650796,-0.06903607434206194
cat__artist_name_Alan Ferret ( Solo ),-0.12625218429806848,-0.0869846894573614,0.07112107978719454,0.1084100851005658,0.1289451527637428,-0.04541936795616304,-0.07629891199297609
